age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
41,7,1,3,0,1,0,0,6,4,314,2,999,0,1,-1.8,92.893,-46.2,1.281,5099.1
21,8,2,3,0,0,0,0,8,1,328,1,999,0,1,-3.4,92.431,-26.9,0.739,5017.5
38,1,2,3,0,0,0,0,5,4,141,1,999,1,0,-1.8,93.369,-34.8,0.655,5008.7
50,0,1,6,0,1,0,0,0,0,160,1,999,0,1,-1.8,93.075,-47.1,1.4,5099.1
47,0,1,6,0,0,0,0,1,4,470,1,4,2,2,-1.7,94.027,-38.3,0.9,4991.6
62,4,0,3,0,0,0,0,1,1,405,1,999,0,1,-2.9,92.201,-31.4,0.861,5076.2
28,0,0,6,0,1,0,0,6,2,1148,1,999,0,1,-1.8,92.893,-46.2,1.327,5099.1
60,0,1,5,0,1,0,0,0,2,571,1,999,0,1,-1.8,93.075,-47.1,1.365,5099.1
28,0,1,3,0,1,0,0,7,3,254,5,999,0,1,-3.4,92.649,-30.1,0.715,5017.5
39,9,2,5,0,0,0,0,3,1,617,2,999,0,1,1.4,93.918,-42.7,4.96,5228.1
32,9,2,6,0,1,0,0,1,3,645,4,999,0,1,1.4,93.444,-36.1,4.966,5228.1
31,1,1,2,0,1,0,1,4,4,704,4,999,0,1,1.4,94.465,-41.8,4.962,5228.1
23,1,2,2,0,0,0,0,3,2,250,4,999,1,0,-1.7,94.215,-40.3,0.846,4991.6
66,5,1,0,0,1,1,1,7,2,1127,1,999,0,1,-3.4,92.649,-30.1,0.714,5017.5
48,0,0,6,0,0,0,0,6,3,1062,3,999,0,1,-1.8,92.893,-46.2,1.291,5099.1
37,4,1,3,0,0,0,0,6,0,292,3,999,0,1,-1.8,93.876,-40.0,0.682,5008.7
46,7,1,2,0,0,0,0,6,4,984,1,999,1,0,-1.8,92.893,-46.2,1.334,5099.1
59,5,1,5,0,0,0,0,1,0,218,3,3,1,2,-1.7,94.027,-38.3,0.905,4991.6
30,2,2,6,0,1,0,0,7,2,531,1,999,1,0,-0.1,93.2,-42.0,4.076,5195.8
27,9,2,6,0,1,0,0,9,2,530,1,3,1,2,-1.1,94.199,-37.5,0.879,4963.6
58,4,1,6,0,0,0,0,6,2,289,1,3,4,2,-1.8,93.876,-40.0,0.683,5008.7
30,0,1,6,0,1,1,0,0,2,739,2,999,0,1,-1.8,93.075,-47.1,1.483,5099.1
29,9,1,3,0,1,0,0,4,0,365,3,999,0,1,-2.9,92.963,-40.8,1.268,5076.2
54,2,1,5,0,0,0,0,7,3,1855,1,999,0,1,-0.1,93.2,-42.0,4.153,5195.8
22,0,2,6,0,1,0,0,9,1,194,2,999,3,0,-1.1,94.199,-37.5,0.882,4963.6
48,1,1,2,0,0,0,1,6,1,607,1,999,0,1,1.1,93.994,-36.4,4.858,5191.0
32,6,2,6,0,0,0,0,3,2,276,2,999,0,1,-2.9,92.469,-33.6,1.072,5076.2
55,5,1,3,0,1,0,0,8,2,424,2,7,1,2,-3.4,92.431,-26.9,0.722,5017.5
31,1,2,0,0,0,0,1,4,2,590,3,999,0,1,1.4,94.465,-41.8,4.866,5228.1
27,0,2,6,0,1,0,0,4,0,266,2,999,1,0,-1.7,94.055,-39.8,0.748,4991.6
